작성자,작성일,내용
yongwoo_kim66,2022년 09월 29일,"#올뉴모닝 출장밧데리24시 
#델코배터리 #로케트배터리 #쏠라이트배터리 #아트라스배터리 #agm배터리 #부산출장밧데리24시 #중고밧데리 #산업용중장비밧데리할인점 #전포동부전동서면문현동밧데리 #진구 #서면 #부전동 #전포동 #남구#문현동 #해운대 #중구 #동구 #동래구 #금정구 #연제구 #수영구 #영도구 #사하구 #사상구 #북구 #강서구 #오늘도밧데리할인점 #부산출장대성카밧데리24시 010 4589 0401"
ssmdggranturismo,2022년 09월 29일,"SSMDG Classicsracer Sport Compact Car Championship 2022
揭背前驅之戰

第四回合，美國－沃特金斯峽谷國際賽道 - 長途路線
天氣：S05無雲睛有霧
場地時間：早晨，上午，下午，旁晩

本賽季命名為SSMDG Classicsracer Sport Compact Car Championship 2022。以日本、美洲及歐洲炙手可熱的揭背跑車為主題，馬力輸出劃一提升至340匹，重量1,080公斤，馬力重量比更進取，操控感進一步提升。賽道方面，賽會選用日本、美洲及歐洲賽道進行八個回合，合共二十四場各跑五十五公里的衝刺賽。

賽季第四回合將會在十月六日晩上十時正，位於美國－沃特金斯峽谷國際賽道 - 長途路線賽道（Watkins Glen International – Long Course）舉行三場十一圈衝刺賽。

「沃特金斯峽谷國際賽道」位於紐約市西北方約260英哩處，幾乎座落在紐約州的正中央。這條歷史悠久的賽道建於1956年，位於山丘地帶，周邊自然景致相當豐富。前半段賽道為高速路段，有中至高速的彎道，後半段賽道則有連續急轉彎道，相當考驗技術。賽道起伏不斷且寬度狹窄，十分有機會見到精采絕倫的較勁場景。從後方直線到高速減速彎，再銜接右向傾斜彎道「外環」的區段，是這條賽道的一大看點。「長途路線」與「短途路線」的不同之處在於「靴子」區段，短途路線並沒有經過此段。

電競賽車粉絲可以到我們官方網站 www.ssmdg.hk及SSMDG Gran Turismo Championship專頁，留意最新賽事動態。更可以以特惠價，購買Fuchs Silkolene汽車用油品！

特別鳴謝今季錦標賽冠名贊助商Classicsracer，及以下贊助商對SSMDG Gran Turismo錦標賽及香港電競賽車嘅支持！

Castle 亮麗－清潔用品
Classicsracer－經典汽車銷售
Fuchs Silkolene (Hong Kong)－汽車油品
GamesBond－應用程式
Goodyear (Hong Kong)－固特異輪呔
Gtech Oil Additive－汽車添加劑
Koo Sport Hong Kong－避震系統
Musketeers－法拉利維修專家
Oasis Eat Company－「我來也」肉乾
P&P Garage－汽車造型 
Reflections HK－車漆護理
Rocket Battery (Hong Kong / Macau)－汽車電池
SIM RACE Product－電競器材
Z-Challenger－電競賽車發展
ZOOM CAR LIFE－東京駕駛體驗

#ssmdg #gt7 #granturismo #playstation #simracing #esports #motorsport #classicsracer #castleaustralia #fuchssilkolene #GaemsBondapp #goodyearhk #gtechoiladditive #koosport #musketeershk #oasiseat #pnpgarage #rocketbattery #ReflectionsHK #simraceproduct #ZChallenge #zoomcarlife"
nic315nic315,2022년 09월 29일,"Team Rocket GTR Gr.4
PSN: nic315nic315
#gt7livery #granturismo7 #liverydesign #livery #granturismolivery #granturismosportphotographer #granturismo #granturismo7scapes #granturismoscapes #granturismophotography #fsr #wml #rocketbattery #zenox #zchallenger #nismo #gtr"
thetmprojekt,2022년 09월 28일,"Looking to replace the battery soon. What's a good brand to use ?
.
.
.
#santafetm #rocketbattery #carbattery #carmaintenance #kdmgang #koreansuv #hyundaiclub #hyundaigang #santafe4wd"
ryu6950,2022년 09월 28일,"투싼 신형 현대서비스랑 배터리 할인점 다 꼼꼼히 비교 가격 견적 내보시고 결론은 소개 통해 로케트 AGM80 짜리 교체!!!

소개받아서 연락주신만큼 가격으로 보답해 드리겠습니다ㅎㅎ

다른분에게 소개 더 부탁드립니다^^

배터리 교체 문의 환영 합니다^^

#순천#순천밧데리#순천배터리#투싼신형#AGM배터리#지인소개#수덕밧데리#자동차배터리#로케트배터리#제조날짜까지확인#가격으로보답#배터리교체문의환영"
nic315nic315,2022년 09월 28일,"Team Rocket NSX Gr.4
PSN: nic315nic315
#gt7livery #granturismo7 #liverydesign #livery #granturismolivery #granturismosportphotographer #granturismo #granturismo7scapes #granturismoscapes #granturismophotography #fsr #wml #rocketbattery #zenox #zchallenger #honda #nsx"
ssmdggranturismo,2022년 09월 27일,"SSMDG Classicsracer Sport Compact Car Championship 2022
第三回合，美國－WeatherTech拉古納塞卡賽道
精彩賽事相簿

本賽季命名為SSMDG Classicsracer Sport Compact Car Championship 2022。以日本、美洲及歐洲炙手可熱的揭背跑車為主題，馬力輸出劃一提升至340匹，重量1,080公斤，馬力重量比更進取，操控感進一步提升。賽道方面，賽會選用日本、美洲及歐洲賽道進行八個回合，合共二十四場各跑五十五公里的衝刺賽。

賽季第三回合在九月廿二日晩上十時正，位於美國－WeatherTech拉古納塞卡賽道（WeatherTech Raceway Laguna Seca）舉行三場十六圈衝刺賽。

經過三場激烈嘅比賽，賽事成績如下，
#第一場
第一名: Car 92 - Stanford Chau (ZCR_BOSSCHAUFSR), Renault Megane RS [BOP +157kg]
第二名: Car 86 -Ka Hei Chan (FSR_Takumi86), Renault Megane RS [BOP +141kg]
第三名: Car 76 - Leo Leung (R4m_R4mborghini), Renault Megane RS [BOP +157kg]
最快圈速1:24.655
Car 92 - Stanford Chau (ZCR_BOSSCHAUFSR), Renault Megane RS [BOP +157kg]

其餘比賽成績，歡迎到SSMDG官網比賽成績分頁細閱，
https://bemho7.wixsite.com/csccc2022/post/round-3-result-and-race-information

大會衷心恭喜，本回合各勝出車手！

電競賽車粉絲可以到我們官方網站 www.ssmdg.hk及SSMDG Gran Turismo Championship專頁，留意最新賽事動態。更可以以特惠價，購買Fuchs Silkolene汽車用油品！

特別鳴謝今季錦標賽冠名贊助商Classicsracer，及以下贊助商對SSMDG Gran Turismo錦標賽及香港電競賽車嘅支持！

Castle 亮麗－清潔用品
Classicsracer－經典汽車銷售
Fuchs Silkolene (Hong Kong)－汽車油品
GamesBond－應用程式
Goodyear (Hong Kong)－固特異輪呔
Gtech Oil Additive－汽車添加劑
Koo Sport Hong Kong－避震系統
Musketeers－法拉利維修專家
Oasis Eat Company－「我來也」肉乾
P&P Garage－汽車造型 
Reflections HK－車漆護理
Rocket Battery (Hong Kong / Macau)－汽車電池
SIM RACE Product－電競器材
Z-Challenger－電競賽車發展
ZOOM CAR LIFE－東京駕駛體驗

#ssmdg #gt7 #granturismo #playstation #simracing #esports #motorsport #classicsracer #castleaustralia #fuchssilkolene #GamesBondapp #goodyearhk #gtechoiladditive #koosport #musketeershk #oasiseat #pnpgarage #rocketbattery #ReflectionsHK #simraceproduct #ZChallenge #zoomcarlife"
ssmdggranturismo,2022년 09월 27일,"SSMDG Classicsracer Sport Compact Car Championship 2022
第三回合，美國－WeatherTech拉古納塞卡賽道
精彩賽事相簿

本賽季命名為SSMDG Classicsracer Sport Compact Car Championship 2022。以日本、美洲及歐洲炙手可熱的揭背跑車為主題，馬力輸出劃一提升至340匹，重量1,080公斤，馬力重量比更進取，操控感進一步提升。賽道方面，賽會選用日本、美洲及歐洲賽道進行八個回合，合共二十四場各跑五十五公里的衝刺賽。

賽季第三回合在九月廿二日晩上十時正，位於美國－WeatherTech拉古納塞卡賽道（WeatherTech Raceway Laguna Seca）舉行三場十六圈衝刺賽。

經過三場激烈嘅比賽，賽事成績如下，
#第三場
第一名：Car 76 - Leo Leung (R4m_R4mborghini), Renault Megane RS [BOP +157kg]
第二名：Car 86 -Ka Hei Chan (FSR_Takumi86), Renault Megane RS [BOP +141kg]
第三名：Car 92 - Stanford Chau (ZCR_BOSSCHAUFSR), Renault Megane RS [BOP +157kg]
最快圈速1:24.991
Car 76 - Leo Leung (R4m_R4mborghini), Renault Megane RS [BOP +157kg]

其餘比賽成績，歡迎到SSMDG官網比賽成績分頁細閱，
https://bemho7.wixsite.com/csccc2022/post/round-3-result-and-race-information

大會衷心恭喜，本回合各勝出車手！

電競賽車粉絲可以到我們官方網站 www.ssmdg.hk及SSMDG Gran Turismo Championship專頁，留意最新賽事動態。更可以以特惠價，購買Fuchs Silkolene汽車用油品！

特別鳴謝今季錦標賽冠名贊助商Classicsracer，及以下贊助商對SSMDG Gran Turismo錦標賽及香港電競賽車嘅支持！

Castle 亮麗－清潔用品
Classicsracer－經典汽車銷售
Fuchs Silkolene (Hong Kong)－汽車油品
GamesBond－應用程式
Goodyear (Hong Kong)－固特異輪呔
Gtech Oil Additive－汽車添加劑
Koo Sport Hong Kong－避震系統
Musketeers－法拉利維修專家
Oasis Eat Company－「我來也」肉乾
P&P Garage－汽車造型 
Reflections HK－車漆護理
Rocket Battery (Hong Kong / Macau)－汽車電池
SIM RACE Product－電競器材
Z-Challenger－電競賽車發展
ZOOM CAR LIFE－東京駕駛體驗

#ssmdg #gt7 #granturismo #playstation #simracing #esports #motorsport #classicsracer #castleaustralia #fuchssilkolene #GamesBondapp #goodyearhk #gtechoiladditive #koosport #musketeershk #oasiseat #pnpgarage #rocketbattery #ReflectionsHK #simraceproduct #ZChallenge #zoomcarlife"
ssmdggranturismo,2022년 09월 27일,"SSMDG Classicsracer Sport Compact Car Championship 2022
第三回合，美國－WeatherTech拉古納塞卡賽道
精彩賽事相簿

本賽季命名為SSMDG Classicsracer Sport Compact Car Championship 2022。以日本、美洲及歐洲炙手可熱的揭背跑車為主題，馬力輸出劃一提升至340匹，重量1,080公斤，馬力重量比更進取，操控感進一步提升。賽道方面，賽會選用日本、美洲及歐洲賽道進行八個回合，合共二十四場各跑五十五公里的衝刺賽。

賽季第三回合在九月廿二日晩上十時正，位於美國－WeatherTech拉古納塞卡賽道（WeatherTech Raceway Laguna Seca）舉行三場十六圈衝刺賽。

經過三場激烈嘅比賽，賽事成績如下，
#第二場
第一名: Car 92 - Stanford Chau (ZCR_BOSSCHAUFSR), Renault Megane RS [BOP +157kg]
第二名: Car 86 -Ka Hei Chan (FSR_Takumi86), Renault Megane RS [BOP +141kg]
第三名：Car 10 - Karl Hui (bibiffkaka), Volkswagen Golf GTI [BOP +19kg]
最快圈速1:24.754
Car 92 - Stanford Chau (ZCR_BOSSCHAUFSR), Renault Megane RS [BOP +157kg]

其餘比賽成績，歡迎到SSMDG官網比賽成績分頁細閱，
https://bemho7.wixsite.com/csccc2022/post/round-3-result-and-race-information

大會衷心恭喜，本回合各勝出車手！

電競賽車粉絲可以到我們官方網站 www.ssmdg.hk及SSMDG Gran Turismo Championship專頁，留意最新賽事動態。更可以以特惠價，購買Fuchs Silkolene汽車用油品！

特別鳴謝今季錦標賽冠名贊助商Classicsracer，及以下贊助商對SSMDG Gran Turismo錦標賽及香港電競賽車嘅支持！

Castle 亮麗－清潔用品
Classicsracer－經典汽車銷售
Fuchs Silkolene (Hong Kong)－汽車油品
GamesBond－應用程式
Goodyear (Hong Kong)－固特異輪呔
Gtech Oil Additive－汽車添加劑
Koo Sport Hong Kong－避震系統
Musketeers－法拉利維修專家
Oasis Eat Company－「我來也」肉乾
P&P Garage－汽車造型 
Reflections HK－車漆護理
Rocket Battery (Hong Kong / Macau)－汽車電池
SIM RACE Product－電競器材
Z-Challenger－電競賽車發展
ZOOM CAR LIFE－東京駕駛體驗

#ssmdg #gt7 #granturismo #playstation #simracing #esports #motorsport #classicsracer #castleaustralia #fuchssilkolene #GamesBondapp #goodyearhk #gtechoiladditive #koosport #musketeershk #oasiseat #pnpgarage #rocketbattery #ReflectionsHK #simraceproduct #ZChallenge #zoomcarlife"
romanfritz,2022년 09월 26일,"For those who haven’t watched part 2, the link is in my story.
Part 3 of our Italy 🇮🇹 contest trip / eating challenge will be on my #YouTube shortly!
Appreciate all of your support and thank you for following 👊 #AllesAusNichts

-Werbung-
Mein @RextremeInc Trainingsequipment, T-shirt’s, Poster etc. findet ihr auf
🔺www.rextreme.de🔺
Jede Bestellung mit gratis Goodie!
#RextremePowerGear
Natürlich haben wir auch Designs für die Ladies @BodyByMe_PowerLadies

Mein Code: Rex sichert euch auf 
🔹www.esn.com🔹
immer die günstigsten Preise und besten Angebote für eure Lieblings Supplements. Natürlich #MadeInGermany
#Rextreme 
#MetabolicFreak
#AttackdogMode
#Killer
#T800"
ssmdggranturismo,2022년 09월 26일,"SSMDG Classicsracer Sport Compact Car Championship 2022
第三回合，美國－WeatherTech拉古納塞卡賽道
賽事成績

本賽季命名為SSMDG Classicsracer Sport Compact Car Championship 2022。以日本、美洲及歐洲炙手可熱的揭背跑車為主題，馬力輸出劃一提升至340匹，重量1,080公斤，馬力重量比更進取，操控感進一步提升。賽道方面，賽會選用日本、美洲及歐洲賽道進行八個回合，合共二十四場各跑五十五公里的衝刺賽。

賽季第三回合在九月廿二日晩上十時正，位於美國－WeatherTech拉古納塞卡賽道（WeatherTech Raceway Laguna Seca）舉行三場十六圈衝刺賽。

經過三場激烈嘅比賽，分站總成績如下，
第一名: Car 92 - Stanford Chau (ZCR_BOSSCHAUFSR)
Renault Megane RS [BOP +157kg] - 57分
第二名: Car 86 - Ka Hei Chan (FSR_Takumi86)
Renault Megane RS [BOP +141kg] - 51分
第三名: Car 76 - Leo Leung (R4m_R4mborghini)
Renault Megane RS [BOP +157kg] - 48分

而經過三個回合比賽後，車手錦標賽總積分成績如下， 
第一名: Car 92 - Stanford Chau (ZCR_BOSSCHAUFSR)
Renault Megane RS [BOP +157kg] - 166分
第二名: Car 76 - Leo Leung (R4m_R4mborghini)
Renault Megane RS [BOP +157kg] - 162分
第三名: Car 93 - Vincent Lau (FSR_Kahung93)
Ford Focus ST [BOP +75kg] - 133分

其餘比賽成績，歡迎到SSMDG官網比賽成績分頁細閱，
https://bemho7.wixsite.com/csccc2022/post/round-3-result-and-race-information

大會衷心恭喜，本回合各勝出車手！

電競賽車粉絲可以到我們官方網站 www.ssmdg.hk及SSMDG Gran Turismo Championship專頁，留意最新賽事動態。更可以以特惠價，購買Fuchs Silkolene汽車用油品！

特別鳴謝今季錦標賽冠名贊助商Classicsracer，及以下贊助商對SSMDG Gran Turismo錦標賽及香港電競賽車嘅支持！

Castle 亮麗－清潔用品
Classicsracer－經典汽車銷售
Fuchs Silkolene (Hong Kong)－汽車油品
GamesBond－應用程式
Goodyear (Hong Kong)－固特異輪呔
Gtech Oil Additive－汽車添加劑
Koo Sport Hong Kong－避震系統
Musketeers－法拉利維修專家
Oasis Eat Company－「我來也」肉乾
P&P Garage－汽車造型 
Reflections HK－車漆護理
Rocket Battery (Hong Kong / Macau)－汽車電池
SIM RACE Product－電競器材
Z-Challenger－電競賽車發展
ZOOM CAR LIFE－東京駕駛體驗

#ssmdg #gt7 #granturismo #playstation #simracing #esports #motorsport #classicsracer #castleaustralia #fuchssilkolene #GamesBondapp #goodyearhk #gtechoiladditive #koosport #musketeershk #oasiseat #pnpgarage #rocketbattery #ReflectionsHK #simraceproduct #ZChallenge #zoomcarlife"
ssmdggranturismo,2022년 09월 26일,"SSMDG Classicsracer Sport Compact Car Championship 2022
揭背前驅之戰

第三回合，美國－WeatherTech拉古納塞卡賽道
天氣：S05無雲睛有霧
場地時間：早晨，上午，下午，旁晩

本賽季命名為SSMDG Classicsracer Sport Compact Car Championship 2022。以日本、美洲及歐洲炙手可熱的揭背跑車為主題，馬力輸出劃一提升至340匹，重量1,080公斤，馬力重量比更進取，操控感進一步提升。賽道方面，賽會選用日本、美洲及歐洲賽道進行八個回合，合共二十四場各跑五十五公里的衝刺賽。

賽季第三回合在上星期四九月廿二日晩上十時正，位於美國－WeatherTech拉古納塞卡賽道（WeatherTech Raceway Laguna Seca）舉行三場十六圈衝刺賽。

「WeatherTech拉古納塞卡賽道」是座落於美國加州聖荷西以南100公里處的賽道，位處北加州矽谷的心臟地帶。這是一條由中低速彎道構成的技術型賽道，由於所在地點四面沙漠環繞，常有風沙颳到賽道地面上，使抓地力成為潛在問題。因此，車手需要能夠在高速狀態下隨時保持精準的操控，任何估算失誤都會導致失控或撞車。因地形所導致的劇烈高低起伏，是這條賽道的最大特色；著名的15公尺長「螺旋彎」險降坡路段可謂賽道的精華所在。「拉古納塞卡賽道」能提供其他地方沒有的刺激競速體驗。

電競賽車粉絲可以到我們官方網站 www.ssmdg.hk及SSMDG Gran Turismo Championship專頁，留意最新賽事動態。更可以以特惠價，購買Fuchs Silkolene汽車用油品！

特別鳴謝今季錦標賽冠名贊助商Classicsracer，及以下贊助商對SSMDG Gran Turismo錦標賽及香港電競賽車嘅支持！

Castle 亮麗－清潔用品
Classicsracer－經典汽車銷售
Fuchs Silkolene (Hong Kong)－汽車油品
GamesBond－應用程式
Goodyear (Hong Kong)－固特異輪呔
Gtech Oil Additive－汽車添加劑
Koo Sport Hong Kong－避震系統
Musketeers－法拉利維修專家
Oasis Eat Company－「我來也」肉乾
P&P Garage－汽車造型 
Reflections HK－車漆護理
Rocket Battery (Hong Kong / Macau)－汽車電池
SIM RACE Product－電競器材
Z-Challenger－電競賽車發展
ZOOM CAR LIFE－東京駕駛體驗

#ssmdg #gt7 #granturismo #playstation #simracing #esports #motorsport #classicsracer #castleaustralia #fuchssilkolene #GamesBondapp #goodyearhk #gtechoiladditive #koosport #musketeershk #oasiseat #pnpgarage #rocketbattery #ReflectionsHK #simraceproduct #ZChallenge #zoomcarlife"
nic315nic315,2022년 09월 25일,"It's a win!
PSN: nic315nic315
#gt7livery #granturismo7 #liverydesign #livery #granturismolivery #granturismosportphotographer #granturismo #granturismo7scapes #granturismoscapes #granturismophotography #fsr #wml #rocketbattery #zenox #zchallenger #subaru #wrx"
nic315nic315,2022년 09월 24일,"WML 2022-2023 Pre-season Race 3
PSN: nic315nic315
#gt7livery #granturismo7 #liverydesign #livery #granturismolivery #granturismosportphotographer #granturismo #granturismo7scapes #granturismoscapes #granturismophotography #fsr #wml #rocketbattery #zenox #zchallenger #toyota #supragt500"
yongwoo_kim66,2022년 09월 24일,"#카니발 밧데리교환 출장밧데리24시 
#델코배터리 #로케트배터리 #쏠라이트배터리 #아트라스배터리 #agm배터리 #부산출장밧데리24시 #중고밧데리 #산업용중장비밧데리할인점 #전포동부전동서면문현동밧데리 #진구 #서면 #부전동 #전포동 #남구#문현동 #해운대 #중구 #동구 #동래구 #금정구 #연제구 #수영구 #영도구 #사하구 #사상구 #북구 #강서구 #오늘도밧데리할인점 #부산출장대성카밧데리24시 010 4589 0401"
yongwoo_kim66,2022년 09월 23일,"#싼타페dm 프라이드디젤 출장밧데리24시 
#델코배터리 #로케트배터리 #쏠라이트배터리 #아트라스배터리 #agm배터리 #부산출장밧데리24시 #중고밧데리 #산업용중장비밧데리할인점 #전포동부전동서면문현동밧데리 #진구 #서면 #부전동 #전포동 #남구#문현동 #해운대 #중구 #동구 #동래구 #금정구 #연제구 #수영구 #영도구 #사하구 #사상구 #북구 #강서구 #오늘도밧데리할인점 #부산출장대성카밧데리24시 010 4589 0401"
sebang.rocket.my,2022년 09월 23일,"Wow.. Almost 100k cars entered SUKE highway in first 24 hrs! 

Have you used SUKE highway yet? There’s no toll for the first month and there’s a panoramic view of the KL City Skyline! 

But please refrain from stopping at emergency lane for no reason, because it’s dangerous! Let’s just enjoy the view as we drive by :)

-------------------------------------------

Wow.. Hampir 100k kereta memasuki lebuh raya SUKE dalam 24 jam pertama!

Dah guna SUKE highway ke belum? Tiada tol untuk bulan pertama dan terdapat pemandangan panoramik KL City Skyline!

Tetapi sila elakkan berhenti di lorong kecemasan tanpa sebab, kerana ia berbahaya! Mari kita nikmati pemandangan sambil memandu :)

-------------------------------------------
哇.. 前 24 小时内有近 10 万辆汽车进入 SUKE 高速公路！

你用过SUKE高速公路吗？首月不收费，KL City Skyline尽收眼底！

但请不要无缘无故停在紧急车道，因为这很危险！让我们一边开车一边欣赏风景:)

#SEBANG #ROCKET #CarBatteryMalaysia #MadeInKorea #KoreaNo1 #RocketUltimatePower #RocketBattery #SebangBattery #BatteryMalaysia #Battery #SIRIMcertifiedCarBattery"
yongwoo_kim66,2022년 09월 22일,"#캡티바 출장밧데리24시 
#델코배터리 #로케트배터리 #쏠라이트배터리 #아트라스배터리 #agm배터리 #부산출장밧데리24시 #중고밧데리 #산업용중장비밧데리할인점 #전포동부전동서면문현동밧데리 #진구 #서면 #부전동 #전포동 #남구#문현동 #해운대 #중구 #동구 #동래구 #금정구 #연제구 #수영구 #영도구 #사하구 #사상구 #북구 #강서구 #오늘도밧데리할인점 #부산출장대성카밧데리24시 010 4589 0401"
yongwoo_kim66,2022년 09월 21일,"#k3디젤 출장밧데리24시 
#델코배터리 #로케트배터리 #쏠라이트배터리 #아트라스배터리 #agm배터리 #부산출장밧데리24시 #중고밧데리 #산업용중장비밧데리할인점 #전포동부전동서면문현동밧데리 #진구 #서면 #부전동 #전포동 #남구#문현동 #해운대 #중구 #동구 #동래구 #금정구 #연제구 #수영구 #영도구 #사하구 #사상구 #북구 #강서구 #오늘도밧데리할인점 #부산출장대성카밧데리24시 010 4589 0401"
sebang.rocket.my,2022년 09월 19일,"[GIVEAWAY]

This month’s we are giving away our exclusive SEBANG Towel. No sweat with SEBANG Batteries ;) Always reliable. 

Follow these simple steps: 
1. Draw the route for the correct truck
2. Share you answer in the comment section
3. Tag at least 3 friends in your comment

⌚️Period : 19/09(Mon)~26/09(Mon)
🔊Announcement : 30/09(Fri) – 10 person 
🎁Prize : SEBANG Towel
-----------------------------------------
Dapatkan tuala SEBANG eksklusif kami kali ini. Bateri SEBANG, sentiasa dipercayai.

Ikuti langkah mudah ini:
1. Lukiskan laluan untuk trak yang betul
2. Kongsikan jawapan anda di ruangan komen
3. Tag sekurang-kurangnya 3 rakan dalam komen anda

 ⌚️Tempoh : : 19/09(Isn)~26/09(Isn)
 🔊Pengumuman : 30/09(Jumaat) – 10 orang
 🎁Hadiah : Tuala SEBANG
-----------------------------------------
【赠品活动】

这个月我们将赠送我们独家的SEBANG浴巾

跟随以下简单的步骤：
1。把正确的卡车画出路线
2。在留言区分享您的答案
3。在留言中tag至少3位朋友

⌚时间 : 19/09(星期一)~26/09(星期一)
🔊通知 : 30/09(星期五) – 10位 
🎁奖品 : SEBANG 浴巾

#SEBANG #ROCKET #CarBatteryMalaysia #MadeInKorea #KoreaNo1 #RocketUltimatePower #RocketBattery #SebangBattery #BatteryMalaysia #Battery #SIRIMcertifiedCarBattery"
romanfritz,2022년 09월 18일,"New #YouTube video!
Day 1 and 2 of our Italy 🇮🇹 trip to the #YamamotoProCup including training and carb up strategy. Enjoy!
Link is in my story and Bio!

#AllesAusNichts

-Werbung-
Mein @RextremeInc Trainingsequipment, T-shirt’s, Poster etc. findet ihr auf
🔺www.rextreme.de🔺
Jede Bestellung mit gratis Goodie!
#RextremePowerGear
Natürlich haben wir auch Designs für die Ladies @BodyByMe_PowerLadies

Mein Code: Rex sichert euch auf 
🔹www.esn.com🔹
immer die günstigsten Preise und besten Angebote für eure Lieblings Supplements. Natürlich #MadeInGermany
#Rextreme 
#MetabolicFreak
#AttackdogMode
#Killer
#T800"
yongwoo_kim66,2022년 09월 18일,"#레이 출장밧데리24시 
#델코배터리 #로케트배터리 #쏠라이트배터리 #아트라스배터리 #agm배터리 #부산출장밧데리24시 #중고밧데리 #산업용중장비밧데리할인점 #전포동부전동서면문현동밧데리 #진구 #서면 #부전동 #전포동 #남구#문현동 #해운대 #중구 #동구 #동래구 #금정구 #연제구 #수영구 #영도구 #사하구 #사상구 #북구 #강서구 #오늘도밧데리할인점 #부산출장대성카밧데리24시 010 4589 0401"
yongwoo_kim66,2022년 09월 18일,"#더뉴스파크 밧데리교환 출장밧데리24시 
#델코배터리 #로케트배터리 #쏠라이트배터리 #아트라스배터리 #agm배터리 #부산출장밧데리24시 #중고밧데리 #산업용중장비밧데리할인점 #전포동부전동서면문현동밧데리 #진구 #서면 #부전동 #전포동 #남구#문현동 #해운대 #중구 #동구 #동래구 #금정구 #연제구 #수영구 #영도구 #사하구 #사상구 #북구 #강서구 #오늘도밧데리할인점 #부산출장대성카밧데리24시 010 4589 0401"
ssmdggranturismo,2022년 09월 16일,"SSMDG Classicsracer Sport Compact Car Championship 2022
揭背前驅之戰

第三回合，美國－WeatherTech拉古納塞卡賽道
天氣：S05無雲睛有霧
場地時間：早晨，上午，下午，旁晩

本賽季命名為SSMDG Classicsracer Sport Compact Car Championship 2022。以日本、美洲及歐洲炙手可熱的揭背跑車為主題，馬力輸出劃一提升至340匹，重量1,080公斤，馬力重量比更進取，操控感進一步提升。賽道方面，賽會選用日本、美洲及歐洲賽道進行八個回合，合共二十四場各跑五十五公里的衝刺賽。

賽季第三回合將會在九月廿二日晩上十時正，位於美國－WeatherTech拉古納塞卡賽道（WeatherTech Raceway Laguna Seca）舉行三場十六圈衝刺賽。

「WeatherTech拉古納塞卡賽道」是座落於美國加州聖荷西以南100公里處的賽道，位處北加州矽谷的心臟地帶。這是一條由中低速彎道構成的技術型賽道，由於所在地點四面沙漠環繞，常有風沙颳到賽道地面上，使抓地力成為潛在問題。因此，車手需要能夠在高速狀態下隨時保持精準的操控，任何估算失誤都會導致失控或撞車。因地形所導致的劇烈高低起伏，是這條賽道的最大特色；著名的15公尺長「螺旋彎」險降坡路段可謂賽道的精華所在。「拉古納塞卡賽道」能提供其他地方沒有的刺激競速體驗。

電競賽車粉絲可以到我們官方網站 www.ssmdg.hk及SSMDG Gran Turismo Championship專頁，留意最新賽事動態。更可以以特惠價，購買Fuchs Silkolene汽車用油品！

特別鳴謝今季錦標賽冠名贊助商Classicsracer，及以下贊助商對SSMDG Gran Turismo錦標賽及香港電競賽車嘅支持！

Castle 亮麗－清潔用品
Classicsracer－經典汽車銷售
Fuchs Silkolene (Hong Kong)－汽車油品
GamesBond－應用程式
Goodyear (Hong Kong)－固特異輪呔
Gtech Oil Additive－汽車添加劑
Koo Sport Hong Kong－避震系統
Musketeers－法拉利維修專家
Oasis Eat Company－「我來也」肉乾
P&P Garage－汽車造型 
Reflections HK－車漆護理
Rocket Battery (Hong Kong / Macau)－汽車電池
SIM RACE Product－電競器材
Z-Challenger－電競賽車發展
ZOOM CAR LIFE－東京駕駛體驗

#ssmdg #gt7 #granturismo #playstation #simracing #esports #motorsport #classicsracer #castleaustralia #fuchssilkolene #GamesBondapp #goodyearhk #gtechoiladditive #koosport #musketeershk #oasiseat #pnpgarage #rocketbattery #ReflectionsHK #simraceproduct #ZChallenge #zoomcarlife"
goodday_taehee,2022년 09월 16일,"일주일 만에 방전 2회,
결국 밧데리 교체 ㅠ

사무실 근처 로케트밧데리 대리점에서 교체
출장은 6만5천원, 
영도 대진상사는 5만5천원(현금)

영도에 오시면 밧데리도 저렴합니다!

#스파크 #밧데리교체 #영도 #로케트배터리 #gb54459 #영도문화도시센터"
sebang.rocket.my,2022년 09월 16일,"Wishing all Malaysians a Happy Malaysia Day!🇲🇾

#SEBANG #ROCKET #CarBatteryMalaysia #MadeInKorea #KoreaNo1 #RocketUltimatePower #RocketBattery #SebangBattery #BatteryMalaysia #Battery"
nic315nic315,2022년 09월 14일,"WML 2022 Season Round 10 Race 1-3
PSN: nic315nic315
#gt7livery #granturismo7 #liverydesign #livery #granturismolivery #granturismosportphotographer #granturismo #granturismo7scapes #granturismoscapes #granturismophotography #fsr #wml #rocketbattery #zenox #zchallenger #honda #nsx #subaru #brzgt300 #toyota #gr010hybrid"
yongwoo_kim66,2022년 09월 13일,"#체어맨cw600 출장밧데리24시 
#델코배터리 #로케트배터리 #쏠라이트배터리 #아트라스배터리 #agm배터리 #부산출장밧데리24시 #중고밧데리 #산업용중장비밧데리할인점 #전포동부전동서면문현동밧데리 #진구 #서면 #부전동 #전포동 #남구#문현동 #해운대 #중구 #동구 #동래구 #금정구 #연제구 #수영구 #영도구 #사하구 #사상구 #북구 #강서구 #오늘도밧데리할인점 #부산출장대성카밧데리24시 010 4589 0401"
